N,Algorithm,Cost,Time
10,Nearest Neighbor,3418.0444597685646,2.9325485229492188e-05
10,Held-Karp,3376.0171352857446,0.0026738643646240234
10,2-Opt,3418.0444597685646,8.034706115722656e-05
10,Simulated Annealing,3376.017135285745,0.0017633438110351562
15,Nearest Neighbor,3481.237764336005,2.8848648071289062e-05
15,Held-Karp,3204.8360155487494,0.1706252098083496
15,2-Opt,3479.1429050082697,0.00037097930908203125
15,Simulated Annealing,3204.83601554875,0.0021347999572753906
20,Nearest Neighbor,3713.62238324353,4.601478576660156e-05
20,Held-Karp,3452.076342001293,14.394697904586792
20,2-Opt,3611.019532889231,0.0009171962738037109
20,Simulated Annealing,3713.62238324353,0.002686023712158203
50,Nearest Neighbor,7120.64004630685,0.00023412704467773438
50,2-Opt,6280.196743897184,0.0220029354095459
50,Simulated Annealing,7120.64004630685,0.005171060562133789
100,Nearest Neighbor,8952.126783394162,0.00086212158203125
100,2-Opt,8523.190871320843,0.17480707168579102
100,Simulated Annealing,8952.126783394162,0.0100860595703125
500,Nearest Neighbor,21005.50835780863,0.02115917205810547
500,2-Opt,18370.942458471796,51.9434814453125
500,Simulated Annealing,21005.50835780863,0.07053518295288086
